combo_id	status	exit_code	metrics_found	ckpt_dir	seed	lr	optimizer	weight_decay	grad_clip	lr_scheduler	lr_milestones	lr_gamma	lambda_envpred	lambda_future_mi	lambda_swap	lambda_mask_sparse	sparse_target	train_loss_scale	mae	mse	rmse	mape	metric_path
combo_0025	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0025	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.5	0.05	0.03	0.03	1e-3	0.25	normalized	15.36000294728322	586.4227868157465	24.216167880483205	10.422032798732722	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0025/best_test_metrics.json
combo_0026	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0026	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.5	0.05	0.03	0.03	1e-3	0.3	normalized	15.26272271560119	582.0749161179001	24.12622880016477	10.196407184944496	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0026/best_test_metrics.json
combo_0027	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0027	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.5	0.05	0.03	0.05	1e-3	0.25	normalized	15.365690553510511	587.0772444578978	24.22967693672158	10.430291476550403	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0027/best_test_metrics.json
combo_0028	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0028	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.5	0.05	0.03	0.05	1e-3	0.3	normalized	15.25515162837398	581.7180081616651	24.118830986630865	10.21228080182462	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0028/best_test_metrics.json
combo_0029	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0029	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.5	0.05	0.05	0.03	1e-3	0.25	normalized	15.487880225654122	590.805469272373	24.30649027055064	11.142640930038315	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0029/best_test_metrics.json
combo_0030	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0030	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.5	0.05	0.05	0.03	1e-3	0.3	normalized	15.545821305867788	591.8883427113026	24.328755469840676	11.342876876796687	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0030/best_test_metrics.json
combo_0031	metric_ok_nonzero_exit	139	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0031	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.5	0.05	0.05	0.05	1e-3	0.25	normalized	15.756186717265361	615.7993496731594	24.81530474673159	9.86504146644661	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0031/best_test_metrics.json
combo_0032	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0032	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.5	0.05	0.05	0.05	1e-3	0.3	normalized	15.56919797261556	586.1686939548802	24.21092096461595	12.010442497493985	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0032/best_test_metrics.json
combo_0033	metric_ok_nonzero_exit	139	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0033	2026	0.001	adamw	1e-5	5.0	multistep	[30,60,80]	0.3	0.03	0.03	0.03	1e-3	0.25	normalized	16.416800769599707	661.297439987595	25.715704151113478	10.216159073082176	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0033/best_test_metrics.json
combo_0034	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0034	2026	0.001	adamw	1e-5	5.0	multistep	[30,60,80]	0.3	0.03	0.03	0.03	1e-3	0.3	normalized	15.352798466209892	589.9089215940184	24.28804071130519	10.184302622133547	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0034/best_test_metrics.json
